,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,66.4,88.8,72.0,29.2,83.2,50.5,26.6,84.2,43.8
MobileNet,66.8,88.4,68.4,25.9,83.1,46.5,22.1,80.9,38.5
SqueezeNet,64.4,89.6,72.4,32.7,84.5,53.5,29.9,83.3,47.2
DenseNet,65.6,89.6,71.2,32.2,83.5,47.6,30.6,81.8,39.8
VGG11,73.6,91.6,75.6,41.7,84.3,53.8,42.9,86.4,48.6
VGG13,66.0,91.2,78.8,33.3,86.2,58.1,31.7,85.6,53.1
VGG16,69.2,88.0,68.8,32.2,84.4,47.2,32.5,82.1,41.1
VGG19,62.4,91.2,74.8,32.9,84.6,56.1,30.5,84.3,51.5
