,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,25.2,82.8,45.2,32.8,82.1,54.0,21.8,82.5,42.6
MobileNet,29.6,81.2,37.2,33.8,80.8,43.5,26.4,80.4,34.2
SqueezeNet,24.4,84.4,40.0,28.2,83.6,43.0,18.7,83.6,36.0
DenseNet,26.8,82.8,36.0,36.5,82.4,42.7,22.4,82.3,32.7
VGG11,28.4,83.2,39.2,32.7,82.7,43.4,25.4,82.2,35.9
VGG13,34.8,82.4,45.2,41.5,82.3,53.8,31.6,80.8,43.5
VGG16,32.8,82.4,46.0,39.3,82.1,51.2,31.4,81.3,42.5
VGG19,27.2,82.4,41.2,32.1,82.0,46.4,24.4,81.9,38.1
