"","Q_D","Q_A","Q_L","V4"
"1",0.652490388506851,0.0641658752924182,0.247113279957617,"1_resnet18_d"
"2",0.353609774197905,1,0.140042310839731,"1_resnet18_a"
"3",0.302565044406471,-0.175645954806072,0.795945927924103,"1_resnet18_l"
"4",0.829597003399663,0.278939509967741,0.485850211157285,"1_mobilenet_d"
"5",0.209426954145848,0.80403025220737,0.120955156205654,"1_mobilenet_a"
"6",0.326354052583867,0.0460638166809305,0.765034445402863,"1_mobilenet_l"
"7",0.806167163672435,0.323477256660746,0.408610532792347,"1_squeezenet_d"
"8",0.353609774197905,1,0.140042310839731,"1_squeezenet-a"
"9",0.237782843284501,0.0698643329264168,0.697311169820543,"1_squeezenet_l"
"10",0.680205935929535,0.0726868720201455,0.318101172669156,"1_densenet_d"
"11",0.202346911134864,0.696630546019236,0.00812981262217314,"1_densenet_a"
"12",0.32000753362656,0.123091490979333,0.783303693855105,"1_densenet_l"
"13",0.597589830351049,0.0726868720201455,0.254480938135325,"1_vgg11_d"
"14",0.0442012217747381,0.46969696969697,-0.0991966368448098,"1_vgg11_a"
"15",0.18358344828271,-0.139107646486547,0.716533922785797,"1_vgg11_l"
"16",0.725843731671644,0.0635641726163728,0.391673639271747,"1_vgg13_d"
"17",0.202346911134864,0.696630546019236,0.00812981262217314,"1_vgg13_a"
"18",0.302223355935631,0,0.722974806670835,"1_vgg13_l"
"19",0.733790925814034,0.235187438680579,0.345162394608227,"1_vgg16_d"
"20",0.202346911134864,0.696630546019236,0.00812981262217314,"1_vgg16_a"
"21",0.331516284805758,0.155635754369867,0.741453705552031,"1_vgg16_l"
"22",0.724935579226217,0.0856561738367395,0.36540103497135,"1_vgg19_d"
"23",0.202346911134864,0.696630546019236,0.00812981262217314,"1_vgg19_a"
"24",0.336511438770508,0.156844258683834,0.74049958213382,"1_vgg19_l"
"25",0.573116871515589,0.349936997624785,0.323912371026792,"2_resnet18_d"
"26",0.353609774197905,1,0.140042310839731,"2_resnet18_a"
"27",0.270844466707738,0.139262124764558,0.728502988494003,"2_resnet18_l"
"28",0.755907905193221,0.342813896336434,0.273648166316281,"2_mobilenet_d"
"29",0.209426954145848,0.80403025220737,0.0290292374893569,"2_mobilenet_a"
"30",0.349586549580055,0.172362563331673,0.723538098845031,"2_mobilenet_l"
"31",0.751108441398116,0.365410898392981,0.341080965883484,"2_squeezenet_d"
"32",0.353609774197905,1,0.140042310839731,"2_squeezenet-a"
"33",0.425048174435278,0.123091490979333,0.844252396258817,"2_squeezenet_l"
"34",0.813089262632883,0.37639939600492,0.401049258579043,"2_densenet_d"
"35",0.353609774197905,1,0.140042310839731,"2_densenet_a"
"36",0.331880388468278,0.155806688802902,0.80227174669813,"2_densenet_l"
"37",0.709810382764543,0.359217493335472,0.295762515870993,"2_vgg11_d"
"38",0.336294852033516,0.685344416842342,0.204338588596027,"2_vgg11_a"
"39",0.359502974233061,0.151542326683788,0.861953404826212,"2_vgg11_l"
"40",0.57744234323043,0.327835748402799,0.207248623224369,"2_vgg13_d"
"41",0.110562691079512,0.685344416842342,0.0297993775035873,"2_vgg13_a"
"42",0.301946460991299,0.150699950360425,0.727694887315171,"2_vgg13_l"
"43",0.698410586819256,0.347354401460387,0.291012469364119,"2_vgg16_d"
"44",0.353609774197905,1,0.140042310839731,"2_vgg16_a"
"45",0.284659362515464,0.111877026409394,0.805021777483065,"2_vgg16_l"
"46",0.797402653064403,0.363852749471423,0.355146030187466,"2_vgg19_d"
"47",0.353609774197905,1,0.140042310839731,"2_vgg19_a"
"48",0.381237200156043,0.106232134769477,0.84323626442978,"2_vgg19_l"
"49",0.836418042428787,0.390246271336642,0.512597005456412,"3_resnet18_d"
"50",0.353609774197905,1,0.140042310839731,"3_resnet18_a"
"51",0.394395300321992,0.11683327287213,0.713161306077867,"3_resnet18_l"
"52",0.959157617729134,0.328784829789928,0.455346492998221,"3_mobilenet_d"
"53",0.353609774197905,1,0.140042310839731,"3_mobilenet_a"
"54",0.459602635955414,0.106723952837494,0.732970324429067,"3_mobilenet_l"
"55",0.696090146293011,0.374957393625949,0.346565339140817,"3_squeezenet_d"
"56",0.209426954145848,0.80403025220737,0.0290292374893569,"3_squeezenet-a"
"57",0.36570532323334,0.112653061328466,0.726120134481132,"3_squeezenet_l"
"58",0.856170673832467,0.364486270723458,0.329230572558475,"3_densenet_d"
"59",0.353609774197905,1,0.140042310839731,"3_densenet_a"
"60",0.447646260828386,0.123937490564389,0.813688902064316,"3_densenet_l"
"61",0.772802121598771,0.374957393625949,0.315059399218924,"3_vgg11_d"
"62",0.413618234438049,0.80403025220737,0.120955156205654,"3_vgg11_a"
"63",0.430912020769817,0.158620580991306,0.787348452677276,"3_vgg11_l"
"64",0.710840689757936,0.342474759710787,0.266371392169051,"3_vgg13_d"
"65",0.353609774197905,1,0.140042310839731,"3_vgg13_a"
"66",0.418044985506489,0.10150384378451,0.726628808253207,"3_vgg13_l"
"67",0.81646422072,0.358042730086914,0.392851033445874,"3_vgg16_d"
"68",0.353609774197905,1,0.140042310839731,"3_vgg16_a"
"69",0.36570532323334,0.112653061328466,0.726120134481132,"3_vgg16_l"
"70",0.861510522552827,0.378309299714475,0.515129169683993,"3_vgg19_d"
"71",0.353609774197905,1,0.140042310839731,"3_vgg19_a"
"72",0.492888217500864,0.128807033524453,0.823003579864866,"3_vgg19_l"
"73",0.705897430581603,0.338759456404428,0.44453652758159,"4_resnet18_d"
"74",0.353609774197905,1,0.140042310839731,"4_resnet18_a"
"75",0.28777259624682,0.106232134769477,0.64322334995587,"4_resnet18_l"
"76",0.956414379715535,0.37403252472947,0.468760002724617,"4_mobilenet_d"
"77",0.353609774197905,1,0.140042310839731,"4_mobilenet_a"
"78",0.294248031766908,0.157547599694698,0.746067415730337,"4_mobilenet_l"
"79",0.759041716128121,0.386538441416142,0.383509591252192,"4_squeezenet_d"
"80",0.353609774197905,1,0.140042310839731,"4_squeezenet-a"
"81",0.332658835225028,0.137006739395181,0.76851237305037,"4_squeezenet_l"
"82",0.776756429934716,0.37403252472947,0.439462502554328,"4_densenet_d"
"83",0.353609774197905,1,0.140042310839731,"4_densenet_a"
